200,0.3035
200.5,0.3011
201,0.2978
201.5,0.2952
202,0.2928
202.5,0.2903
203,0.2881
203.5,0.286
204,0.2837
204.5,0.2806
205,0.2778
205.5,0.275
206,0.2722
206.5,0.269
207,0.2657
207.5,0.2629
208,0.2587
208.5,0.2552
209,0.2516
209.5,0.248
210,0.2442
210.5,0.2399
211,0.235
211.5,0.2304
212,0.2262
212.5,0.2219
213,0.2175
213.5,0.2124
214,0.2078
214.5,0.2028
215,0.1985
215.5,0.1939
216,0.1884
216.5,0.1836
217,0.1788
217.5,0.1739
218,0.1686
218.5,0.1644
219,0.1597
219.5,0.1549
220,0.1507
220.5,0.146
221,0.1421
221.5,0.1378
222,0.1343
222.5,0.1301
223,0.1264
223.5,0.1227
224,0.1195
224.5,0.1162
225,0.1132
225.5,0.1103
226,0.1071
226.5,0.1044
227,0.1019
227.5,0.1002
228,0.097
228.5,0.0948
229,0.0929
229.5,0.0915
230,0.0906
230.5,0.0883
231,0.0872
231.5,0.0847
232,0.0839
232.5,0.0821
233,0.0806
233.5,0.079
234,0.0778
234.5,0.0766
235,0.0756
235.5,0.0746
236,0.0736
236.5,0.0727
237,0.0719
237.5,0.0711
238,0.0702
238.5,0.0694
239,0.0688
239.5,0.0681
240,0.0672
240.5,0.0665
241,0.0662
241.5,0.0655
242,0.0649
242.5,0.0642
243,0.0638
243.5,0.0638
244,0.0632
244.5,0.0627
245,0.062
245.5,0.0615
246,0.0611
246.5,0.0608
247,0.0601
247.5,0.0599
248,0.0598
248.5,0.0597
249,0.0593
249.5,0.059
250,0.0588
250.5,0.0584
251,0.0579
251.5,0.0576
252,0.0572
252.5,0.0569
253,0.0566
253.5,0.0565
254,0.0562
254.5,0.0557
255,0.0556
255.5,0.0552
256,0.0549
256.5,0.0546
257,0.0541
257.5,0.0539
258,0.0537
258.5,0.0534
259,0.0531
259.5,0.0529
260,0.0526
260.5,0.0523
261,0.0521
261.5,0.052
262,0.0519
262.5,0.0516
263,0.0511
263.5,0.0508
264,0.0505
264.5,0.0503
265,0.05
265.5,0.0496
266,0.0493
266.5,0.049
267,0.0487
267.5,0.0485
268,0.0482
268.5,0.048
269,0.0478
269.5,0.0474
270,0.0472
270.5,0.0469
271,0.0466
271.5,0.0463
272,0.0458
272.5,0.0457
273,0.0456
273.5,0.0453
274,0.045
274.5,0.0446
275,0.0444
275.5,0.0441
276,0.0437
276.5,0.0435
