,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590
300,4.961,3.599,44.981,10.835,21.399,720.941,7.542,2.105,1.416,2.875,0.567,0.242,0.225,0.507,-1.02E-17,0.584,0.191,0.147,0,-2.87E-19,0.001,-9.27E-18,-7.15E-19,-8.32E-19,0,-3.38E-19,-6.78E-21,4.70E-20,1.88E-19,8.59E-19,-1.28E-18,1.55E-19,0,0,-6.49E-19
300.5,4.948182,5.735038,37.98273,9.942606,18.56767,739.5979,7.57872,2.072659,1.254985,1.995053,1.124682,0.4790379,0.1840076,0.4786288,0.3236818,0.2371667,0.04305303,0.04267424,-0.01018182,0.007363636,-0.01949242,0.3072273,0.05965909,0.01158333,0,0.06403788,-0.036,0.006613636,0.04086364,0.04848485,0.06937879,-0.01697727,0,0,-0.02673485
301,4.980295,6.732098,35.69242,9.166038,16.17112,766.1933,8.756485,1.888636,1.108742,1.473098,1.060742,0.6624924,0.1347652,0.5924773,0.2922803,0.03365909,-0.03888636,0.03457576,0.008060606,0.02945455,-0.04919697,0.2775076,0.1224318,0.02376515,-0.009515152,0.1211667,-0.04745455,0.02063636,0.07846212,0.05760606,0.08084848,-0.03673485,0,0,-0.06760606
301.5,5.034364,6.711583,35.81489,9.071409,13.51696,774.9748,11.97972,1.825697,0.9796061,1.194689,0.7326288,0.6528485,0.1831591,0.7054924,0.06874242,0.09287879,0.1668864,0.07881061,0.02957576,0.04745455,-0.03968939,0.01656061,0.1803561,0.03306818,0.01070455,0.1295,-0.02945455,0.04916667,0.113,0.03487879,0.03451515,-0.05666667,0,0,-0.08977273
302,4.871614,6.419182,35.40345,9.123508,10.66614,766.4225,14.48033,2.338023,1.331394,1.157712,0.5417955,0.6041894,0.3547652,0.6606364,-0.02475758,0.2404545,0.3990303,0.1508106,0.07099242,0.02945455,0.02700758,0.03897727,0.2018712,0.04492424,0.04281818,0.06511364,-0.007363636,0.05263636,0.106197,0.008742424,-0.000818182,-0.05740152,0,-0.01509091,-0.05127273
302.5,4.829212,6.47953,31.38076,10.44752,8.634152,739.67,20.72639,2.90278,1.491591,1.127515,0.7074318,0.4770379,0.5089621,0.5053485,-0.003469697,0.3274773,0.5285833,0.1318258,0.206447,0.004939394,0.08370455,0.2235985,0.1844394,0.02972727,0.06898485,-0.002295455,0.006545455,0.04879545,0.07907576,0.000939394,-0.01728788,-0.03288636,0.008,0.01697727,-0.009401515
303,5.159538,6.591114,28.01122,11.94216,8.098129,698.501,30.43542,3.39422,1.762212,1.160705,0.673197,0.5818409,0.4505303,0.4075379,0.08545455,0.2851515,0.3249773,0.08125,0.3483182,-0.01357576,0.08256818,0.4822955,0.1518106,0.007431818,0.04281818,-0.004477273,0,0.02030303,0.03343182,-0.002666667,-0.003636364,-0.02596212,-0.009,0.06790909,0.01072727
303.5,5.925326,6.44672,25.12739,13.45655,8.002371,630.2511,46.13214,3.562068,1.761114,0.9417879,0.4705682,0.6995758,0.2696288,0.5112424,0.398053,0.3284773,0.2532803,0.1812424,0.3788106,0.02188636,0.01815152,0.5427273,0.1545985,-0.006606061,0.01070455,0.04463636,0,0.006545455,0.007969697,0,0.008045455,-0.03956061,-0.036,0.1094091,0.008
304,6.61653,6.023909,23.29678,14.19758,7.661159,552.2329,64.77797,3.954773,2.131212,0.8533258,0.2944848,0.6755303,0.04803788,0.6122576,0.7310303,0.394447,0.2809242,0.3704621,0.2415833,0.05506061,-0.01217424,0.5385076,0.1644091,0,-0.009515152,0.03410606,0,-0.005818182,-0.008204545,0,0.03218182,-0.05775758,-0.058,0.06790909,-0.001909091
